phrase;replacements;message;url
"inter alia";"among other things";"At least you should use the proper form.";
"inter course";"";"Are you kidding! Why would you type this!";
"inter racial";"";"Are you kidding! Why would you type this!";
"interact with each other";"interact";"At least you should use the proper form.";
"intercourse";"";"Are you kidding! Why would you type this!";
"interdependent on each other";"interdependent";"Use this form, it's better. Trust me.";
"interest group pressures";"interest-group pressures";"At least you should use the proper form.";
"interesting";"intriguing";"Don't use this word";
"interestingly";"";"Don't use this word";
"interfusable";"interfusible";"This is the correct spelling";
"intergral";"integral";"This is the correct spelling";
"interpretate";"interpret";"At least you should use the proper form.";
"interracial";"";"Are you kidding! Why would you type this!";
"intervenience";"intervention";"At least you should use the proper form.";
"intheass";"";"Are you kidding! Why would you type this!";
"inthebuff";"";"Are you kidding! Why would you type this!";
"inthrall";"enthrall";"This is the correct spelling";
"inthrone";"enthrone";"This is the correct spelling";
"intitle";"entitle";"This is the correct spelling";
"intomb";"entomb";"This is the correct spelling";
"intreat";"entreat";"This is the correct spelling";
"intrench";"entrench";"This is the correct spelling";
"introduced for the first time";"introduced";"At least you should use the proper form.";
"intrust";"entrust";"This is the correct spelling";
"intwine";"entwine";"This is the correct spelling";
"intwist";"entwist";"This is the correct spelling";
"invalid";"no valid","turned off","has a disability","person with a disability","people with disabilities";"Assumes/implies that a person with a disability is deficient or inferior to others. When possible, specify the functional ability or its restriction.";
"invalidatable";"invalidable";"This is the correct spelling";
"inventible";"inventable";"This is the correct spelling";
"invest";"dedicate";"Emotional Word Detected";
"invester";"investor";"This is the correct spelling";
"investible";"investable";"This is the correct spelling";
"investigatable";"investigable";"This is the correct spelling";
"investment";"allocation";"Emotional Word Detected";
"invincable";"invincible";"This is the correct spelling";
"inwind";"enwind";"This is the correct spelling";
"inwrap";"enwrap";"This is the correct spelling";
"inwreathe";"enwreathe";"This is the correct spelling";
"irascable";"irascible";"This is the correct spelling";
"ironical";"ironic";"At least you should use the proper form.";
"irregardless";"regardless";"This is not a word";
"irresistable";"irresistible";"This is the correct spelling";
"irrevelant";"irrelevant";"This is the correct spelling";
"irrevocable";"";"Don't use this word";
"irridescent";"iridescent";"This is the correct spelling";
"islamist";"muslim","person of Islamic faith","fanatic","zealot","follower of islam","follower of the islamic faith";"At least you should use the proper form.";
"islamists";"muslims","people of Islamic faith","fanatics","zealots";"Avoid using terms that implies colonialism/genocide against Indigenous peoples";
"isolatable";"isolable";"This is the correct spelling";
"it ain't over till the fat lady sings";"";"Don't use this word";
"it goes without saying";"";"Don't use this word";
"it is agreed";"consensus is";"Passive Word Detected";
"it stands to reason";"";"Don't use this word";
"it takes all kinds";"";"Don't use this word";
"it takes one to know one";"";"Don't use this word";
"it was";"it stood as";"Passive Word Detected";
"it";"";"Do you really want to use this word?";
"it's a small world";"";"Don't use this word";
"it's not what you know, it's who you know";"";"Don't use this word";
"it's on my radar";"";"Don't use this word";
"it's only a matter of time";"";"Don't use this word";
"ivory tower";"";"Don't use this word";
"jack the ripper";"";"Are you kidding! Why would you type this!";
"jackass";"";"Are you kidding! Why would you type this!";
"jackoff";"";"Are you kidding! Why would you type this!";
"jacktheripper";"";"Are you kidding! Why would you type this!";
"jalapeno";"jalapeño";"It's Spanish";
"janitor";"cleaner";"Using gender neutral language means users will help to break up gender stereotypes";
"janitors";"cleaners";"Using gender neutral language means users will help to break up gender stereotypes";
"janitress";"cleaner";"Using gender neutral language means users will help to break up gender stereotypes";
"jap crap";"";"Are you kidding! Why would you type this!";
"jap";"";"Are you kidding! Why would you type this!";
"japcrap";"";"Are you kidding! Why would you type this!";
"japs";"Japanese person","Japanese people";"Don't use this word";
"jealous";"covetous";"Emotional Word Detected";
"jerk off";"";"Are you kidding! Why would you type this!";
"jerkoff";"";"Are you kidding! Why would you type this!";
"jerry-rigged";"jury-rigged";"At least you should use the proper form.";
"jesus chirst";"";"Are you kidding! Why would you type this!";
"jesuschrist";"";"Are you kidding! Why would you type this!";
"jism";"";"Are you kidding! Why would you type this!";
"jist";"gist";"This is the correct spelling";
"jiujutsu";"jujitsu";"This is the correct spelling";
"jiz juice";"";"Are you kidding! Why would you type this!";
"jiz";"";"Are you kidding! Why would you type this!";
"jizim";"";"Are you kidding! Why would you type this!";
"jizjuice";"";"Are you kidding! Why would you type this!";
"jizz";"";"Are you kidding! Why would you type this!";
"jizzim";"";"Are you kidding! Why would you type this!";
"jockey for position";"";"Don't use this word";
"jog your memory";"";"Don't use this word";
"joined at the hip";"";"Don't use this word";
"joint collaboration";"collaboration";"At least you should use the proper form.";
"joint stock company";"joint-stock company";"At least you should use the proper form.";
"joint";"";"Are you kidding! Why would you type this!";
"journeyman";"journeyperson";"Using gender neutral language means users will help to break up gender stereotypes";
"journeymen";"journeypersons";"Using gender neutral language means users will help to break up gender stereotypes";
"journeywoman";"journeyperson";"Using gender neutral language means users will help to break up gender stereotypes";
"journeywomen";"journeypersons";"Using gender neutral language means users will help to break up gender stereotypes";
"joy";"jubilant";"Emotional Word Detected";
"joyful";"content";"Emotional Word Detected";
"joyous";"content";"Emotional Word Detected";
"judge a book by its cover";"";"Don't use this word";
"judgmatic";"evaluative";"At least you should use the proper form.";
"judgmental";"evaluative";"Emotional Word Detected";
"judgmentally";"";"No. Just no. Don't say this";
"juggalo";"";"Are you kidding! Why would you type this!";
"jugs";"";"Are you kidding! Why would you type this!";
"jump down your throat";"";"Don't use this word";
"jump in with both feet";"";"Don't use this word";
"jump on the bandwagon";"";"Don't use this word";
"jump the gun";"";"Don't use this word";
"jump the reservation";"enemy territory";"Avoid using phrases referring to the genocidal United States “Indian Removal” laws.";
"jump to conclusions";"";"Don't use this word";
"junkie";"person with a drug addiction","person recovering from a drug addiction";"Addiction is a neurobiological disease.";
"junkies";"people with a drug addiction","people recovering from a drug addiction";"Alcoholism is a neurobiological disease.";
"just a hop, skip, and a jump";"";"Don't use this word";
"just the ticket";"";"Don't use this word";
"just";"";"Filler word. Not everything is as easy as you might think. And if it isn’t easy for the reader, it can hurt.";
"justice is blind";"";"Don't use this word";
"k mart";"";"Are you kidding! Why would you type this!";
"kaleidascope";"kaleidoscope";"This is the correct spelling";
"keep a stiff upper lip";"";"Don't use this word";
"keep an eye on";"";"Don't use this word";
"keep it simple, stupid";"";"Don't use this word";
"keep the home fires burning";"";"Don't use this word";
"keep up with the Joneses";"";"Don't use this word";
"keep your chin up";"";"Don't use this word";
"keep your fingers crossed";"";"Don't use this word";
"kept";"";"Don't use this word";
"kick the bucket";"";"Don't use this word";
"kick up your heels";"";"Don't use this word";
"kick your feet up";"";"Don't use this word";
"kid in a candy store";"";"Don't use this word";
"kidney dialysis machine";"kidney-dialysis machine";"At least you should use the proper form.";
"kill two birds with one stone";"";"Don't use this word";
"kill";"","stop";"Unconcious Bias Detected";
"killed";"stopped";"Unconcious Bias Detected";
"killer";"";"Are you kidding! Why would you type this!";
"killing";"","stopping";"Unconcious Bias Detected";
"kind of";"";"Don't use this word";
"king";"ruler";"Using gender neutral language means users will help to break up gender stereotypes";
"kingmaker";"power behind the throne";"Using gender neutral language means users will help to break up gender stereotypes";
"kings";"rulers";"Using gender neutral language means users will help to break up gender stereotypes";
"kingsize";"jumbo","gigantic";"Using gender neutral language means users will help to break up gender stereotypes";
"kinsman";"relative";"Using gender neutral language means users will help to break up gender stereotypes";
"kinswoman";"relative";"Using gender neutral language means users will help to break up gender stereotypes";
"kinswomen";"relatives";"Using gender neutral language means users will help to break up gender stereotypes";
"kiss ass";"";"Are you kidding! Why would you type this!";
"kiss of death";"";"Don't use this word";
"kissass";"";"Are you kidding! Why would you type this!";
"kkk";"";"Are you kidding! Why would you type this!";
"kmart";"";"Are you kidding! Why would you type this!";
"kneel down";"kneel";"At least you should use the proper form.";
"knelt";"";"Don't use this word";
"knew";"";"Filler Word Detected";
"knicknack";"knickknack";"This is the correct spelling";
"knit";"";"Don't use this word";
"knock it out of the park";"";"Don't use this word";
"knock on wood";"";"Don't use this word";
"knock your socks off";"";"Don't use this word";
"knockers";"";"Are you kidding! Why would you type this!";
"knots per hour";"knots";"At least you should use the proper form.";
"know him from Adam";"";"Don't use this word";
"know the ropes";"";"Don't use this word";
"know the score";"";"Don't use this word";
"knowledgeable experts";"experts";"At least you should use the proper form.";
"known";"";"Don't use this word";
"knuckle down";"";"Don't use this word";
"knuckle sandwich";"";"Don't use this word";
"knuckle under";"";"Don't use this word";
"koon";"";"Are you kidding! Why would you type this!";
"kotex";"";"Are you kidding! Why would you type this!";
"krap";"";"Are you kidding! Why would you type this!";
"krappy";"";"Are you kidding! Why would you type this!";
"kum bubble";"";"Are you kidding! Why would you type this!";
"kum quat";"";"Are you kidding! Why would you type this!";
"kum";"";"Are you kidding! Why would you type this!";
"kumbubble";"";"Are you kidding! Why would you type this!";
"kumbullbe";"";"Are you kidding! Why would you type this!";
"kummerbund";"cummerbund";"This is the correct spelling";
"kumquat";"";"Are you kidding! Why would you type this!";
"kunt";"";"Are you kidding! Why would you type this!";
"ky jelly";"";"Are you kidding! Why would you type this!";
"ky";"";"Are you kidding! Why would you type this!";
"labor of love";"";"Don't use this word";
"labour";"labor";"Use the correct spelling";
"labyrinthian";"labyrinthine";"At least you should use the proper form.";
"lacked the ability to";"";"Filler Word Detected";
"lactate";"";"Are you kidding! Why would you type this!";
"lad";"person","friend","pal","folk","individual";"Using gender neutral language means users will help to break up gender stereotypes";
"ladder of success";"";"Don't use this word";
"ladies and gentlemen";"y'all";"Unconcious Bias Detected";
"ladies";"people","persons","folks";"Using gender neutral language means users will help to break up gender stereotypes";
"lady boog";"";"Are you kidding! Why would you type this!";
"lady doctor";"doctor";"Use this form, it's better. Trust me.";
"lady lawyer";"lawyer";"This is the correct spelling";
"ladyli";"courteous","cultured";"Using gender neutral language means users will help to break up gender stereotypes";
"laid";"";"Are you kidding! Why would you type this!";
"lain";"";"Don't use this word";
"laison";"liaison";"This is the correct spelling";
"lame";"uninteresting","boring","dull";"Use this form, it's better. Trust me.";
"land on your feet";"";"Don't use this word";
"landladies";"proprietors","building managers";"Using gender neutral language means users will help to break up gender stereotypes";
"landlady";"proprietor","building manager";"Using gender neutral language means users will help to break up gender stereotypes";
"landlord";"proprietor","building manager";"Using gender neutral language means users will help to break up gender stereotypes";
"landlords";"proprietors","building managers";"Using gender neutral language means users will help to break up gender stereotypes";
"laniard";"lanyard";"At least you should use the proper form.";
"lap dance";"";"Are you kidding! Why would you type this!";
"lap of luxury";"";"Don't use this word";
"lapdance";"";"Are you kidding! Why would you type this!";
"lapsible";"lapsable";"This is the correct spelling";
"large bottleneck";"";"Are you kidding! Why would you type this!";
"large-size";"large";"At least you should use the proper form.";
"largely";"";"Don't use this word";
"larger than life personality";"larger-than-life personality";"At least you should use the proper form.";
"largesse";"largess";"At least you should use the proper form.";
"largest bottleneck";"";"Are you kidding! Why would you type this!";
"lasagne";"lasagna";"At least you should use the proper form.";
"lassoes";"lassos";"This is the correct spelling";
"last but not least";"";"Don't use this word";
"last hurrah";"";"Don't use this word";
"last of all";"last";"This is the correct format";
"last-ditch effort";"";"Don't use this word";
"later time";"later";"This is the correct format";
"latina";"Latinx";"Use this form, it's better. Trust me.";
"latino";"Latinx";"Use this form, it's better. Trust me.";
"laudative";"laudatory";"At least you should use the proper form.";
"law of the jungle";"";"Don't use this word";
"law of the land";"";"Don't use this word";
"lay down the law";"";"Don't use this word";
"layman";"civilian";"Using gender neutral language means users will help to break up gender stereotypes";
"laymen";"civilians";"Using gender neutral language means users will help to break up gender stereotypes";
"laywoman";"civilian";"Using gender neutral language means users will help to break up gender stereotypes";
"laywomen";"civilians";"Using gender neutral language means users will help to break up gender stereotypes";
"leading lady";"lead";"Use this form, it's better. Trust me.";
"leaps and bounds";"";"Don't use this word";
"leapt";"";"Don't use this word";
"learning disabled";"person with learning disabilities";"Refer to the person, rather than the disability, first.";
"learnt";"learned";"Use the correct spelling";
"leary";"leery";"At least you should use the proper form.";
"leasee";"lessee";"This is the correct spelling";
"leasor";"lessor";"This is the correct spelling";
"least worst";"";"Are you kidding! Why would you type this!";
"least";"";"Don't use this word";
"leaves much to be desired";"";"No. Just no. Don't say this";
"led";"";"Don't use this word";
"left";"";"Don't use this word";
"legable";"legible";"This is the correct spelling";
"legitimatization";"legitimation";"At least you should use the proper form.";
"legitimatize";"legitimize";"At least you should use the proper form.";
"legitimization";"legitimation";"At least you should use the proper form.";
"lengthways";"lengthwise";"At least you should use the proper form.";
"lengthy distances";"long distances";"At least you should use the proper form.";
"lent";"";"Don't use this word";
"leopard-like";"pardine";"Use this form, it's better. Trust me.";
"lesbain";"";"Are you kidding! Why would you type this!";
"lesbayn";"";"Are you kidding! Why would you type this!";
"lesbin";"";"Are you kidding! Why would you type this!";
"lesbo";"";"Are you kidding! Why would you type this!";
"less";"";"Don't use this word";
"let sleeping dogs lie";"";"Don't use this word";
"let the cat out of the bag";"";"Don't use this word";
"let the good times roll";"";"Don't use this word";
"let your hair down";"";"Don't use this word";
"let";"";"Don't use this word";
"let's talk turkey";"";"Don't use this word";
"let's touch base";"";"Don't use this word";
"letter perfect";"";"Don't use this word";
"leverage";"take advantage of";"Don't use this word";
"lez be friends";"";"Are you kidding! Why would you type this!";
"lez be";"";"Are you kidding! Why would you type this!";
"lez";"";"Are you kidding! Why would you type this!";
"lezbe";"";"Are you kidding! Why would you type this!";
"lezbefriends";"";"Are you kidding! Why would you type this!";
"lezbo";"";"Are you kidding! Why would you type this!";
"lezz";"";"Are you kidding! Why would you type this!";
"lezzo";"";"Are you kidding! Why would you type this!";
"liason";"liaison";"This is the correct spelling";
"liberated";"released";"Emotional Word Detected";
"libtard";"disagreeable","uneducated","ignorant","naive","inattentive";"Use this form, it's better. Trust me.";
"lick me";"";"Are you kidding! Why would you type this!";
"lick your wounds";"";"Don't use this word";
"licker";"";"Are you kidding! Why would you type this!";
"lickme";"";"Are you kidding! Why would you type this!";
"lie detector machine";"polygraph machine";"At least you should use the proper form.";
"lie detector test";"polygraph test";"At least you should use the proper form.";
"lies like a rug";"";"Don't use this word";
"life's a bitch";"";"Don't use this word";
"life's a grind";"";"Don't use this word";
"life-sized";"life-size";"At least you should use the proper form.";
"lift up";"lift";"At least you should use the proper form.";
"light at the end of the tunnel";"";"Don't use this word";
"lighted";"";"Don't use this word";
"lightening rod";"lightning rod";"This is the correct spelling";
"lighter than a feather";"";"Don't use this word";
"lighter than air";"";"Don't use this word";
"lighthearted";"carefree";"Emotional Word Detected";
"like a man";"resolutely","bravely";"Using gender neutral language means users will help to break up gender stereotypes";
"like clockwork";"";"Don't use this word";
"like father like son";"";"Don't use this word";
"like taking candy from a baby";"";"Don't use this word";
"like there's no tomorrow";"";"Don't use this word";
"like";"including","akin to";"Indirect Word Detected";
"limp dick";"";"Are you kidding! Why would you type this!";
"limpdick";"";"Are you kidding! Why would you type this!";
"limy";"";"Are you kidding! Why would you type this!";
"linguistician";"linguist";"At least you should use the proper form.";
"lion's share";"";"Don't use this word";
"lions";"pride";"A group of lions  is called a  pride";
"liquify";"liquefy";"This is the correct spelling";
"liquorice";"licorice";"At least you should use the proper form.";
"literally";"actually";"Filler word";
"lithesome";"lithe";"At least you should use the proper form.";
"litigatable";"litigable";"This is the correct spelling";
"live and learn";"";"Don't use this word";
"live and let live";"";"Don't use this word";
"live sex";"";"Are you kidding! Why would you type this!";
"live studio audience";"studio audience";"At least you should use the proper form.";
"live witness";"witness";"At least you should use the proper form.";
"livesex";"";"Are you kidding! Why would you type this!";
"lizard-like";"lacertine";"There is a word for that";
"loaded gun";"";"Are you kidding! Why would you type this!";
"loadedgun";"";"Are you kidding! Why would you type this!";
"loadstar";"lodestar";"This is the correct spelling";
"loan me her";"lend me her";"At least you should use the proper form.";
"loan me his";"lend me his";"At least you should use the proper form.";
"loan me their";"lend me their";"At least you should use the proper form.";
"loan me your";"lend me your";"At least you should use the proper form.";
"loaned me her";"lent me her";"At least you should use the proper form.";
"loaned me his";"lent me his";"At least you should use the proper form.";
"loaned me their";"lent me their";"At least you should use the proper form.";
"loaned me your";"lent me your";"At least you should use the proper form.";
"loathesome";"loathsome";"This is the correct spelling";
"locusts";"plague";"A group of locusts  is called a  plague";
"lol";"";"Are you kidding! Why would you type this!";
"lolita";"";"Are you kidding! Why would you type this!";
"lollipop";"lollypop";"At least you should use the proper form.";
"long and short of it";"";"Don't use this word";
"long lost love";"";"Don't use this word";
"long run costs";"long-run costs";"At least you should use the proper form.";
"long term care";"long-term care";"At least you should use the proper form.";
"long time no hear";"favorite","inspiration","personal interest","personality type";"Avoid using phrases that implicitly mock people with limited knowledge of the English language.";
"long time no see";"favorite","inspiration","personal interest","personality type";"Avoid using phrases that implicitly mock people with limited knowledge of the English language.";
"longstanding";"long-standing";"At least you should use the proper form.";
"look ahead to the future";"look to the future";"At least you should use the proper form.";
"look before you leap";"";"Don't use this word";
"look down your nose";"";"Don't use this word";
"look what the cat dragged in";"";"Don't use this word";
"looked";"";"Filler Word Detected";
"looking a gift horse in the mouth";"";"Don't use this word";
"looks like death warmed over";"";"Don't use this word";
"loony bin";"chaos","hectic","pandemonium";"Use this form, it's better. Trust me.";
"loony";"person with symptoms of mental illness";"Describe the behavior or illness without derogatory words.";
"loose cannon";"";"Don't use this word";
"looser";"";"Are you kidding! Why would you type this!";
"lord";"official","owner","expert","chief","ruler";"Using gender neutral language means users will help to break up gender stereotypes";
"lords";"officials","chiefs","rulers";"Using gender neutral language means users will help to break up gender stereotypes";
"lose your head";"";"Don't use this word";
"lose your temper";"";"Don't use this word";
"lost";"";"Don't use this word";
"loth";"loath";"At least you should use the proper form.";
"lotion";"";"Are you kidding! Why would you type this!";
"lots";"abundant";"Weasel Word Detected";
"loud as a horn";"";"Don't use this word";
"lounge lizard";"";"Don't use this word";
"love bone";"";"Are you kidding! Why would you type this!";
"love goo";"";"Are you kidding! Why would you type this!";
"love gun";"";"Are you kidding! Why would you type this!";
"love juice";"";"Are you kidding! Why would you type this!";
"love muscle";"";"Are you kidding! Why would you type this!";
"love pistol";"";"Are you kidding! Why would you type this!";
"love rocket";"";"Are you kidding! Why would you type this!";
"lovebone";"";"Are you kidding! Why would you type this!";
"loved and lost";"";"Don't use this word";
"lovegoo";"";"Are you kidding! Why would you type this!";
"lovegun";"";"Are you kidding! Why would you type this!";
"lovejuice";"";"Are you kidding! Why would you type this!";
"lovemuscle";"";"Are you kidding! Why would you type this!";
"lovepistol";"";"Are you kidding! Why would you type this!";
"loverocket";"";"Are you kidding! Why would you type this!";
"lovible";"lovable";"This is the correct spelling";
"low income housing";"low-income housing";"At least you should use the proper form.";
"low iq";"foolish","ludicrous","unintelligent";"Use this form, it's better. Trust me.";
"low life";"";"Are you kidding! Why would you type this!";
"low man on the totem pole";"";"Don't use this word";
"low-hanging fruit";"easy wins";"Don't use this word";
"lower";"reduced";"Weasel Word Detected";
"lowlife";"";"Are you kidding! Why would you type this!";
"lube job";"";"Are you kidding! Why would you type this!";
"lubejob";"";"Are you kidding! Why would you type this!";
"lubricous";"lubricious";"At least you should use the proper form.";
"luck of the Irish";"";"Don't use this word";
"luck of the draw";"";"Don't use this word";
"lucky camel toe";"";"Are you kidding! Why would you type this!";
"luckycammeltoe";"";"Are you kidding! Why would you type this!";
"lunacy";"person with symptoms of mental illness";"Describe the behavior or illness without derogatory words.";
"lunatic";"person with symptoms of mental illness";"Describe the behavior or illness without derogatory words.";
"lycee";"lycée";"It's French";
"lyrical";"lyrically";"At least you should use the proper form.";
"mackerel";"shoal";"A group of mackerel  is called a  shoal";
"mad man";"fanatic","zealot","enthusiast";"Using gender neutral language means users will help to break up gender stereotypes";
"mad men";"fanatics","zealots","enthusiasts";"Using gender neutral language means users will help to break up gender stereotypes";
"madamoiselle";"mademoiselle";"This is the correct spelling";
"maddening crowd";"madding crowd";"At least you should use the proper form.";
"made an attempt to";"tried to";"At least you should use the proper form.";
"made attempts to";"tried to";"At least you should use the proper form.";
"made efforts to";"tried to";"At least you should use the proper form.";
"made";"";"Don't use this word";
"madhouse";"chaos","hectic","pandemonium";"Use this form, it's better. Trust me.";
"madman";"fanatic","zealot","enthusiast";"Using gender neutral language means users will help to break up gender stereotypes";
"madmen";"fanatics","zealots","enthusiasts";"Using gender neutral language means users will help to break up gender stereotypes";
"maelstorm";"maelstrom";"This is the correct spelling";
"maffia";"mafia";"This is the correct spelling";
"mafiosos";"mafiosi";"This is the correct spelling";
"magic wand";"";"Are you kidding! Why would you type this!";
"magical";"captivating";"Emotional Word Detected";
"magicwand";"";"Are you kidding! Why would you type this!";
"magnificent";"impressive";"Emotional Word Detected";
"maiden flig";"first flight";"Using gender neutral language means users will help to break up gender stereotypes";
"maiden na";"birth name";"Using gender neutral language means users will help to break up gender stereotypes";
"maiden race";"first race";"Use this form, it's better. Trust me.";
"maiden speech";"first speech";"Use this form, it's better. Trust me.";
"maiden voyage";"first voyage";"Using gender neutral language means users will help to break up gender stereotypes";
"maiden";"";"Why...";
"maihem";"mayhem";"At least you should use the proper form.";
"mailman";"mail carrier","letter carrier","postal worker";"Using gender neutral language means users will help to break up gender stereotypes";
"mailmen";"mail carriers","letter carriers","postal workers";"Using gender neutral language means users will help to break up gender stereotypes";
"mailperson";"mail carrier";"This is the correct spelling";
"mailwoman";"mail carrier","letter carrier","postal worker";"Using gender neutral language means users will help to break up gender stereotypes";
"mailwomen";"mail carriers","letter carriers","postal workers";"Using gender neutral language means users will help to break up gender stereotypes";
"main focus";"focus";"Use this form, it's better. Trust me.";
"main";"";"Don't use this word";
"maitre d";"maître d";"It's French";
"major breakthrough";"breakthrough";"At least you should use the proper form.";
"major feat";"feat";"At least you should use the proper form.";
"make a mockery of";"";"Don't use this word";
"make an attempt to";"try to";"At least you should use the proper form.";
"make an inference";"draw an inference";"At least you should use the proper form.";
"make attempts to";"try to";"At least you should use the proper form.";
"make efforts to";"try to";"At least you should use the proper form.";
"make hay while the sun shines";"";"Don't use this word";
"make money hand over fist";"";"Don't use this word";
"make my day";"";"Don't use this word";
"make the best of a bad situation";"";"Don't use this word";
"make the best of it";"";"Don't use this word";
"make your blood boil";"";"Don't use this word";
"male chauvinism";"";"Don't use this word";
"male";"person";"Unconcious Bias Detected";
"males";"humans";"Using gender neutral language means users will help to break up gender stereotypes";
"malicious";"malevolent","person with symptoms of mental illness";"Describe the behavior or illness without derogatory words.";
"mama";"parent";"Using gender neutral language means users will help to break up gender stereotypes";
"mamas";"parents";"Using gender neutral language means users will help to break up gender stereotypes";
"mams";"";"Are you kidding! Why would you type this!";
"man a desk";"staff a desk";"Use this form, it's better. Trust me.";
"man and wife";"husband and wife";"This is the correct spelling";
"man enough";"strong enough";"Using gender neutral language means users will help to break up gender stereotypes";
"man hater";"";"Are you kidding! Why would you type this!";
"man hour";"person-hour","staff hour","hour of work";"Using gender neutral language means users will help to break up gender stereotypes";
"man hours";"person-hours","staff hours","hours of work","hours of labor","hours";"Using gender neutral language means users will help to break up gender stereotypes";
"man in the street";"ordinary citizen","typical person","average person";"Use this form, it's better. Trust me.";
"man made";"people-made";"Unconcious Bias Detected";
"man of action";"dynamo";"Using gender neutral language means users will help to break up gender stereotypes";
"man of few words";"";"Don't use this word";
"man of lette";"scholar","writer","literary figure";"Using gender neutral language means users will help to break up gender stereotypes";
"man of the land";"farmer","rural worker","grazier","landowner","rural community","country people","country folk";"Use this form, it's better. Trust me.";
"man of the world";"sophisticate";"Using gender neutral language means users will help to break up gender stereotypes";
"man paste";"";"Are you kidding! Why would you type this!";
"man sized task";"a demanding task","a big job";"Use this form, it's better. Trust me.";
"man the booth";"staff the booth";"Use this form, it's better. Trust me.";
"man the fort";"keep an eye on things","keep shop","provide coverage","cover things","take charge";"Avoid using terms that relate to gun violence.";
"man the phones";"answer the phones";"Use this form, it's better. Trust me.";
"man";"people","persons","folks";"Using gender neutral language means users will help to break up gender stereotypes";
"man's best friend";"";"Don't use this word";
"man-hour";"person-hour";"Unconcious Bias Detected";
"man-hours";"person-hours";"Unconcious Bias Detected";
"man-made";"people-made";"Unconcious Bias Detected";
"mandatory choice";"";"No. Just no. Don't say this";
"mangos";"mangoes";"This is the correct spelling";
"manhater";"";"Are you kidding! Why would you type this!";
"manhour";"staff hour","hour of work";"Using gender neutral language means users will help to break up gender stereotypes";
"manhours";"staff hours","hours of work","hours of labor","hours";"Using gender neutral language means users will help to break up gender stereotypes";
"maniac";"psychiatric disability","fanatic","zealot","enthusiast";"Don't use this word";
"manic";"eager","person with schizophrenia";"Use this form, it's better. Trust me.";
"manifest";"";"Don't use this word";
"manifesti";"manifestos";"At least you should use the proper form.";
"manipulatable";"manipulable";"This is the correct spelling";
"manipulater";"manipulator";"This is the correct spelling";
"manipulative";"calculating";"Emotional Word Detected";
"mankind";"people","humankind";"Using gender neutral language means users will help to break up gender stereotypes";
"manliness";"humanity";"Using gender neutral language means users will help to break up gender stereotypes";
"manma";"manufactured","artificial","synthetic","machine-made","constructed";"Using gender neutral language means users will help to break up gender stereotypes";
"manned";"staffed","crewed","piloted";"Using gender neutral language means users will help to break up gender stereotypes.";
"manpaste";"";"Are you kidding! Why would you type this!";
"manpow";"human resources","workforce","personnel","staff","labor","personnel","labor force","staffing","combat personnel";"Using gender neutral language means users will help to break up gender stereotypes";
"mans best friend";"a faithful dog";"Use this form, it's better. Trust me.";
"mansized task";"a demanding task","a big job";"Use this form, it's better. Trust me.";
"manually by hand";"manually";"At least you should use the proper form.";
"many and diverse";"";"Don't use this word";
"many";"abundant";"Weasel Word Detected";
"mares";"stud";"A group of mares  is called a  stud";
"mariage de convenance";"marriage of convenience";"At least you should use the proper form.";
"marihuana";"marijuana";"This is the correct spelling";
"mark my words";"";"Don't use this word";
"marksman";"shooter";"Using gender neutral language means users will help to break up gender stereotypes";
"marksmen";"shooters";"Using gender neutral language means users will help to break up gender stereotypes";
"markswoman";"shooter";"Using gender neutral language means users will help to break up gender stereotypes";
"markswomen";"shooters";"Using gender neutral language means users will help to break up gender stereotypes";
"marshall arts";"martial arts";"This is the correct spelling";
"marshall law";"martial law";"This is the correct spelling";
"marshmellow";"marshmallow";"This is the correct spelling";
"mary jane";"";"Are you kidding! Why would you type this!";
"maryjane";"";"Are you kidding! Why would you type this!";
"masculinity";"adulthood","personhood","maturity";"Using gender neutral language means users will help to break up gender stereotypes";
"massacering";"massacring";"Use this form, it's better. Trust me.";
"massacreing";"massacring";"Use this form, it's better. Trust me.";
"massive bottleneck";"";"Are you kidding! Why would you type this!";
"mastabate";"";"Are you kidding! Why would you type this!";
"mastabater";"";"Are you kidding! Why would you type this!";
"master account";"management account";"Unconcious Bias Detected";
"master blaster";"";"Are you kidding! Why would you type this!";
"master copy";"pass key","original";"Use this form, it's better. Trust me.";
"master key";"pass key","original";"Use this form, it's better. Trust me.";
"master of ceremonies";"emcee","moderator","convenor";"Using gender neutral language means users will help to break up gender stereotypes";
"master plan";"grand scheme","guiding principles";"Use this form, it's better. Trust me.";
"master the art";"become skilled";"Use this form, it's better. Trust me.";
"master";"mainline","primary","lead","hub","reference";"Avoid using the term `master`, these suggestions are for the computer term, but there are better alternatives for other cases";
"master-slave";"primary-secondary";"Unconcious Bias Detected";
"master-slaves";"primary-secondary";"Unconcious Bias Detected";
"masterbate";"";"Are you kidding! Why would you type this!";
"masterblaster";"";"Are you kidding! Why would you type this!";
"masterf";"skilled","authoritative","commanding";"Using gender neutral language means users will help to break up gender stereotypes";
"mastermind";"genius","creator","instigator","oversee","launch","originate";"Using gender neutral language means users will help to break up gender stereotypes";
"masterpie";"work of genius","chef d’oeuvre";"Using gender neutral language means users will help to break up gender stereotypes";
"masterplan";"vision","comprehensive plan";"Using gender neutral language means users will help to break up gender stereotypes";
"masters";"primarys","primaries","hubs","references";"Avoid using the term `slave`, these suggestions are for the computer term, but there are better alternatives for other cases";
